entry_id,date,amount,account_code,memo,vendor_id,journal_ref,created_by
GL_001,2026-08-08,2157.15,ACC_5010,Booking for Gekko Capital,VEND_40,JRN-9555,johnsonjoshua
GL_002,2026-08-19,1285.5,ACC_6010,Booking for Dunder Supplies,VEND_10,JRN-3378,donaldgarcia
GL_003,2026-08-06,3355.42,ACC_8010,Booking for Initech Solutions,VEND_06,JRN-6999,garzaanthony
GL_004,2026-08-16,313.32,ACC_8020,Booking for Weyland Industries,VEND_25,JRN-7293,robinsonwilliam
GL_005,2026-08-08,3691.41,ACC_8010,Booking for Umbrella Corp,VEND_07,JRN-5066,hoffmanjennifer
GL_006,2026-08-12,2775.47,ACC_5020,Booking for Hooli Services,VEND_12,JRN-6412,lrobinson
GL_007,2026-08-03,3608.62,ACC_8010,Booking for Multi Corp,VEND_30,JRN-2686,lisa02
GL_008,2026-08-10,2625.38,ACC_6020,Booking for  Freight,VEND_35,JRN-1348,jpeterson
GL_009,2026-08-25,334.24,ACC_8020,Booking for Wernham Hogg,VEND_22,JRN-6072,susanrogers
GL_010,2026-08-14,4458.48,ACC_8010,Booking for Sirius Cybernetics,VEND_29,JRN-4185,jamesmichael
GL_011,2026-08-16,3489.36,ACC_5010,Booking for Tyrell Systems,VEND_24,JRN-4030,cassandra07
GL_012,2026-08-14,3052.02,ACC_5020,Booking for Hooli Services,VEND_12,JRN-5823,dudleynicholas
GL_013,2026-08-10,2284.99,ACC_5020,Booking for InGen Biotech,VEND_28,JRN-8043,maria95
GL_014,2026-08-20,4990.94,ACC_7020,Booking for Rekall Solutions,VEND_18,JRN-1897,janetwilliams
GL_015,2026-08-03,3388.8,ACC_7020,Booking for Primatech Paper,VEND_26,JRN-1376,kendragalloway
GL_016,2026-08-22,883.93,ACC_8010,Booking for Globex Inc,VEND_02,JRN-8749,michellejames
GL_017,2026-08-04,1256.38,ACC_6020,Booking for Tyrell Systems,VEND_24,JRN-2928,xreid
GL_019,2026-08-12,2050.37,ACC_7020,Booking for Rekall Solutions,VEND_18,JRN-7843,mitchellclark
GL_020,2026-08-13,4576.36,ACC_5010,Booking for Soylent Industries,VEND_08,JRN-8241,jacqueline19
GL_021,2026-08-23,4590.75,ACC_5020,Booking for Veridian Dynamics,VEND_32,JRN-4537,amandasanchez
GL_022,2026-08-23,2281.04,ACC_6020,Booking for Initech Solutions,VEND_06,JRN-4737,ogray
GL_023,2026-08-11,3372.41,ACC_8010,Booking for Cyberdyne Systems,VEND_05,JRN-4610,gabriellecameron
GL_024,2026-08-26,1871.31,ACC_6010,Booking for Prestige Worldwide,VEND_15,JRN-6927,perezantonio
GL_025,2026-08-08,3972.83,ACC_5020,Booking for Globex Inc,VEND_02,JRN-9523,richard13
GL_026,2026-08-03,1615.52,ACC_5020,Booking for Frobozz Electric,VEND_31,JRN-1286,jason76
GL_027,2026-08-19,463.04,ACC_6020,Booking for Oceanic Freight,VEND_21,JRN-7676,ithomas
GL_028,2026-08-25,2801.39,ACC_8020,Booking for Bachman Electric,VEND_38,JRN-2930,julieryan
GL_029,2026-08-14,2564.03,ACC_5020,Booking for Wayne Enterprises,VEND_04,JRN-8113,zhurst
GL_030,2026-08-11,4680.22,ACC_6020,Booking for Prestige Worldwide,VEND_15,JRN-1490,jeffrey28
GL_031,2026-08-03,1327.97,ACC_7020,Booking for Sorin Systems,VEND_36,JRN-3412,ddavis
GL_033,2026-08-01,497.99,ACC_8010,Booking for Lestrade & Co,VEND_37,JRN-6877,hernandezernest
GL_034,2026-08-16,4456.08,ACC_8010,Booking for  Freight,VEND_35,JRN-3402,ycarlson
GL_035,2026-08-16,1301.23,ACC_5010,Booking for Primatech Paper,VEND_26,JRN-7265,dcarlson
GL_036,2026-08-14,2472.83,ACC_8010,Booking for Los Pollos Dist.,VEND_14,JRN-7198,tasha01
GL_037,2026-08-05,3827.26,ACC_6020,Booking for Momcorp Industries,VEND_33,JRN-7667,kayla51
GL_038,2026-08-15,1314.8,ACC_8010,Booking for Umbrella Corp,VEND_07,JRN-2192,ryan70
GL_039,2026-08-20,2148.86,ACC_5020,Booking for Pied Piper Tech,VEND_11,JRN-1244,teresa28
GL_040,2026-08-24,1632.3,ACC_7020,Booking for Pied Piper Tech,VEND_11,JRN-8895,harrellkenneth
GL_041,2026-08-03,4731.85,ACC_5020,Booking for Momcorp Industries,VEND_33,JRN-4117,ericfarmer
GL_042,2026-08-12,2524.98,ACC_8010,Booking for Frobozz Electric,VEND_31,JRN-6518,georgetracy
GL_043,2026-08-09,3664.79,ACC_5010,Booking for Primatech Paper,VEND_26,JRN-5127,hickmannatasha
GL_044,2026-08-18,1514.15,ACC_8020,Booking for Weyland Industries,VEND_25,JRN-4146,john39
GL_045,2026-08-09,4144.03,ACC_6020,Booking for Gekko Capital,VEND_40,JRN-7531,millertodd
GL_046,2026-08-26,4934.77,ACC_6020,Booking for Sorin Systems,VEND_36,JRN-9339,spenceamanda
GL_047,2026-08-02,323.25,ACC_5020,Booking for Vandelay Trading,VEND_09,JRN-1482,davidalvarez
GL_048,2026-08-18,2339.24,ACC_7020,Booking for Pawnee Power,VEND_39,JRN-4665,josephbrennan
GL_049,2026-08-13,4954.0,ACC_8010,Booking for Buy n Large Corp,VEND_20,JRN-8114,ibrandt
GL_051,2026-08-20,2425.49,ACC_8010,Booking for Bachman Electric,VEND_38,JRN-7400,jenniferross
GL_052,2026-08-17,3182.22,ACC_7020,Booking for Gekko Capital,VEND_40,JRN-2025,samuel87
GL_053,2026-08-07,192.79,ACC_6010,Booking for Oceanic Freight,VEND_21,JRN-2913,wrightcaleb
GL_054,2026-08-25,3096.24,ACC_7020,Booking for Frobozz Electric,VEND_31,JRN-9255,chapmanjerry
GL_055,2026-08-07,2848.35,ACC_5020,Booking for Frobozz Electric,VEND_31,JRN-2229,adrianzimmerman
GL_056,2026-08-11,2775.4,ACC_8010,Booking for Nakatomi Trading,VEND_17,JRN-6486,perezrebecca
GL_057,2026-08-08,4713.28,ACC_5010,Booking for Buy n Large Corp,VEND_20,JRN-1785,chad34
GL_058,2026-08-12,2846.39,ACC_5010,Booking for Rekall Solutions,VEND_18,JRN-7147,ilewis
GL_059,2026-08-12,4777.58,ACC_8010,Booking for Dunder Supplies,VEND_10,JRN-1917,esanchez
GL_060,2026-08-21,1356.58,ACC_7020,Booking for Frobozz Electric,VEND_31,JRN-5575,glee
GL_061,2026-08-09,4671.82,ACC_5010,Booking for Rekall Solutions,VEND_18,JRN-5801,agomez
GL_062,2026-08-02,3382.19,ACC_8010,Booking for Omni Consumer,VEND_34,JRN-2198,dshields
GL_063,2026-08-23,2414.78,ACC_8020,Booking for Vandelay Trading,VEND_09,JRN-6265,brownjessica
GL_064,2026-08-06,2093.85,ACC_5010,Booking for Frobozz Electric,VEND_31,JRN-8424,wrightjames
GL_065,2026-08-21,389.9,ACC_8010,Booking for Initech Solutions,VEND_06,JRN-3903,ltaylor
GL_066,2026-08-06,4676.22,ACC_8010,Booking for Stark Logistics,VEND_03,JRN-4209,steven17
GL_067,2026-08-06,4689.38,ACC_8010,Booking for Massive Dynamic,VEND_19,JRN-8263,williamsyvette
GL_068,2026-08-12,2326.31,ACC_8020,Booking for  Freight,VEND_35,JRN-3353,novaksara
GL_069,2026-08-05,4270.19,ACC_5010,Booking for Multi Corp,VEND_30,JRN-7035,gabrieltucker
GL_070,2026-08-11,896.22,ACC_5020,Booking for Multi Corp,VEND_30,JRN-5584,michellebarrera
GL_071,2026-08-19,3404.57,ACC_6020,Booking for Bluth Builders,VEND_13,JRN-1275,nicholasgalloway
GL_072,2026-08-13,4152.25,ACC_7020,Booking for Momcorp Industries,VEND_33,JRN-8219,sara74
GL_074,2026-08-10,2954.06,ACC_7020,Booking for Lestrade & Co,VEND_37,JRN-5612,uhorton
GL_075,2026-08-17,1603.35,ACC_5020,Booking for Primatech Paper,VEND_26,JRN-1953,smoore
GL_076,2026-08-23,3872.22,ACC_7020,Booking for Soylent Industries,VEND_08,JRN-3289,tanyariley
GL_077,2026-08-16,850.61,ACC_8020,Booking for Pawnee Power,VEND_39,JRN-7606,adkinsbrian
GL_078,2026-08-22,3798.22,ACC_7020,Booking for Initech Solutions,VEND_06,JRN-3130,hshaw
GL_079,2026-08-02,4160.99,ACC_8010,Booking for Momcorp Industries,VEND_33,JRN-3247,brianromero
GL_080,2026-08-15,669.58,ACC_6010,Booking for Los Pollos Dist.,VEND_14,JRN-1318,caseyjones
GL_081,2026-08-15,746.53,ACC_8010,Booking for Dharma Provisions,VEND_27,JRN-2508,richarddavid
GL_082,2026-08-13,1346.84,ACC_8010,Booking for ACME Corp,VEND_01,JRN-9062,bethwilliams
GL_083,2026-08-23,412.42,ACC_8010,Booking for Wayne Enterprises,VEND_04,JRN-7299,barnesbrandy
GL_084,2026-08-25,3243.47,ACC_5010,Booking for Dharma Provisions,VEND_27,JRN-3637,sarah35
GL_085,2026-08-22,4824.31,ACC_8010,Booking for  Freight,VEND_35,JRN-2094,josephanderson
GL_086,2026-08-04,974.52,ACC_6010,Booking for  Freight,VEND_35,JRN-1372,stephen10
GL_087,2026-08-10,2368.72,ACC_7020,Booking for  Freight,VEND_35,JRN-9584,khowell
GL_088,2026-08-12,860.09,ACC_8020,Booking for Bluth Builders,VEND_13,JRN-9741,jonesjason
GL_089,2026-08-02,4066.44,ACC_6020,Booking for Dharma Provisions,VEND_27,JRN-2100,david51
GL_090,2026-08-02,1279.26,ACC_5020,Booking for Cyberdyne Systems,VEND_05,JRN-4320,mikemoore
GL_091,2026-08-26,316.76,ACC_6010,Booking for Sirius Cybernetics,VEND_29,JRN-2461,cheryl80
GL_092,2026-08-10,1247.39,ACC_5020,Booking for Lestrade & Co,VEND_37,JRN-6147,sarah12
GL_093,2026-08-05,4929.91,ACC_6020,Booking for Omni Consumer,VEND_34,JRN-3805,darrell18
GL_094,2026-08-18,2528.54,ACC_5020,Booking for Delos Hospitality,VEND_23,JRN-6648,josephjacobs
GL_095,2026-08-14,831.17,ACC_6020,Booking for Weyland Industries,VEND_25,JRN-2781,james48
GL_096,2026-08-23,807.32,ACC_6020,Booking for Multi Corp,VEND_30,JRN-9924,dking
GL_097,2026-08-08,1349.48,ACC_5010,Booking for Wernham Hogg,VEND_22,JRN-8606,waltersmaria
GL_098,2026-08-12,553.07,ACC_5010,Booking for Bluth Builders,VEND_13,JRN-4357,smithkellie
GL_099,2026-08-07,4041.43,ACC_5010,Booking for Bachman Electric,VEND_38,JRN-3676,evan78
GL_100,2026-08-10,4789.4,ACC_5010,Booking for ACME Corp,VEND_01,JRN-7223,hhoffman
GL_101,2026-08-05,3759.71,ACC_5020,Booking for Frobozz Electric,VEND_31,JRN-7912,landryhannah
GL_102,2026-08-18,1675.91,ACC_5020,Booking for Massive Dynamic,VEND_19,JRN-9409,amydavenport
GL_103,2026-08-12,2613.07,ACC_7020,Booking for Veridian Dynamics,VEND_32,JRN-9947,russellwilliams
GL_104,2026-08-24,2400.5,ACC_8010,Booking for Oceanic Freight,VEND_21,JRN-6651,rachel05
GL_105,2026-08-01,1377.79,ACC_6020,Booking for Bachman Electric,VEND_38,JRN-2986,evelynestrada
GL_106,2026-08-08,1961.21,ACC_5020,Booking for Sterling Cooper,VEND_16,JRN-4575,kimberly69
GL_107,2026-08-24,3244.3,ACC_7020,Booking for Veridian Dynamics,VEND_32,JRN-2217,sarayoung
GL_109,2026-08-17,265.74,ACC_6020,Booking for Cyberdyne Systems,VEND_05,JRN-6031,theresacochran
GL_110,2026-08-21,1234.02,ACC_6010,Booking for Dunder Supplies,VEND_10,JRN-1805,vjohnson
GL_111,2026-08-22,2490.49,ACC_8020,Booking for ACME Corp,VEND_01,JRN-3763,kimberly63
GL_112,2026-08-10,184.0,ACC_8020,Booking for InGen Biotech,VEND_28,JRN-6292,erik16
GL_113,2026-08-07,3136.93,ACC_5010,Booking for Nakatomi Trading,VEND_17,JRN-3307,garrisonjeffrey
GL_114,2026-08-13,2349.09,ACC_7020,Booking for Sterling Cooper,VEND_16,JRN-5817,ybailey
GL_115,2026-08-13,1956.44,ACC_5010,Booking for Sorin Systems,VEND_36,JRN-8064,jeffreykeller
GL_116,2026-08-14,3260.05,ACC_6020,Booking for Wernham Hogg,VEND_22,JRN-5665,emurphy
GL_117,2026-08-17,4603.85,ACC_5010,Booking for Prestige Worldwide,VEND_15,JRN-4874,michael86
GL_118,2026-08-16,1428.37,ACC_6020,Booking for Cyberdyne Systems,VEND_05,JRN-4356,sheila14
GL_119,2026-08-19,3324.74,ACC_6020,Booking for Hooli Services,VEND_12,JRN-2664,beverlyterrell
GL_120,2026-08-03,1566.46,ACC_6020,Booking for Lestrade & Co,VEND_37,JRN-8707,rodriguezryan
GL_121,2026-08-13,3417.47,ACC_8010,Booking for  Freight,VEND_35,JRN-2774,samuel81
GL_122,2026-08-05,3971.63,ACC_7020,Booking for Initech Solutions,VEND_06,JRN-9411,mlam
GL_123,2026-08-02,578.66,ACC_5020,Booking for Prestige Worldwide,VEND_15,JRN-4058,bradley60
GL_124,2026-08-01,3207.2,ACC_5010,Booking for Sirius Cybernetics,VEND_29,JRN-1229,michaeljones
GL_125,2026-08-22,2970.79,ACC_5020,Booking for Weyland Industries,VEND_25,JRN-2511,cindy14
GL_126,2026-08-09,855.68,ACC_6020,Booking for Dunder Supplies,VEND_10,JRN-9785,elizabeth56
GL_127,2026-08-10,2279.21,ACC_5020,Booking for Rekall Solutions,VEND_18,JRN-2676,angela36
GL_128,2026-08-14,606.14,ACC_8020,Booking for Initech Solutions,VEND_06,JRN-4168,lbyrd
GL_130,2026-08-06,3458.05,ACC_6020,Booking for Pied Piper Tech,VEND_11,JRN-9510,richard04
GL_131,2026-08-06,2229.91,ACC_7020,Booking for Dharma Provisions,VEND_27,JRN-3811,jason99
GL_132,2026-08-12,1333.33,ACC_7020,Booking for Sterling Cooper,VEND_16,JRN-9947,steven73
GL_133,2026-08-04,765.37,ACC_6020,Booking for ACME Corp,VEND_01,JRN-8175,yleon
GL_134,2026-08-13,4039.97,ACC_5020,Booking for Wernham Hogg,VEND_22,JRN-7979,donnacampbell
GL_135,2026-08-11,3055.74,ACC_5020,Booking for Bluth Builders,VEND_13,JRN-9836,clarence34
GL_136,2026-08-24,3503.54,ACC_8010,Booking for Veridian Dynamics,VEND_32,JRN-3903,lindsayhernandez
GL_137,2026-08-12,658.05,ACC_8010,Booking for Lestrade & Co,VEND_37,JRN-6217,sanchezthomas
GL_138,2026-08-06,3440.39,ACC_7020,Booking for Sorin Systems,VEND_36,JRN-1477,gibsonolivia
GL_139,2026-08-23,438.88,ACC_6020,Booking for Dharma Provisions,VEND_27,JRN-4750,jennifercruz
GL_140,2026-08-22,855.3,ACC_8010,Booking for InGen Biotech,VEND_28,JRN-8366,psanchez
GL_141,2026-08-18,2582.4,ACC_8020,Booking for Dharma Provisions,VEND_27,JRN-1375,staffordmichelle
GL_142,2026-08-12,3538.01,ACC_7020,Booking for  Freight,VEND_35,JRN-9922,osbornejeffery
GL_143,2026-08-04,3867.87,ACC_7020,Booking for Delos Hospitality,VEND_23,JRN-7599,pwilliams
GL_144,2026-08-27,2209.23,ACC_7020,Booking for ACME Corp,VEND_01,JRN-8836,bryantlaurie
GL_145,2026-08-12,2016.56,ACC_8020,Booking for Bachman Electric,VEND_38,JRN-2000,stephanie79
GL_146,2026-08-10,2138.28,ACC_7020,Booking for Initech Solutions,VEND_06,JRN-9134,jrivas
GL_148,2026-08-04,2247.01,ACC_5020,Booking for Sirius Cybernetics,VEND_29,JRN-7636,vmerritt
GL_149,2026-08-21,635.88,ACC_8010,Booking for Pied Piper Tech,VEND_11,JRN-3400,wcole
