invoice_id,date,amount,vendor_id,vendor_name,status,po_number
INV_001,2026-08-04,2157.15,VEND_40,Gekko Capital,PAID,PO-9443
INV_002,2026-08-16,1285.5,VEND_10,Dunder Supplies,PAID,PO-7825
INV_003,2026-08-01,3355.42,VEND_06,Initech Solutions,PAID,PO-7397
INV_004,2026-08-13,313.32,VEND_25,Weyland Industries,PAID,PO-6649
INV_005,2026-08-05,3691.41,VEND_07,Umbrella Corp,PAID,PO-1726
INV_006,2026-08-08,2775.47,VEND_12,Hooli Services,PAID,PO-3209
INV_007,2026-08-01,3608.62,VEND_30,Multi Corp,PAID,PO-6170
INV_008,2026-08-08,2625.38,VEND_35, Freight,PAID,PO-6848
INV_009,2026-08-15,3491.14,VEND_24,Tyrell Systems,PENDING,PO-2293
INV_010,2026-08-13,3052.02,VEND_12,Hooli Services,PAID,PO-5843
INV_011,2026-08-06,2284.99,VEND_28,InGen Biotech,PAID,PO-6776
INV_012,2026-08-18,883.93,VEND_02,Globex Inc,PAID,PO-3068
INV_013,2026-08-01,3064.96,VEND_29,Sirius Cybernetics,PAID,PO-9674
INV_014,2026-08-10,2050.37,VEND_18,Rekall Solutions,PENDING,PO-9482
INV_015,2026-08-09,4576.36,VEND_08,Soylent Industries,PAID,PO-5678
INV_016,2026-08-22,4590.75,VEND_32,Veridian Dynamics,PENDING,PO-3828
INV_017,2026-08-08,3372.41,VEND_05,Cyberdyne Systems,PAID,PO-3852
INV_018,2026-08-04,3972.83,VEND_02,Globex Inc,PAID,PO-2412
INV_019,2026-08-14,461.38,VEND_21,Oceanic Freight,PAID,PO-3102
INV_020,2026-08-11,2564.03,VEND_04,Wayne Enterprises,PAID,PO-3653
INV_021,2026-07-29,1327.97,VEND_36,Sorin Systems,PAID,PO-9234
INV_022,2026-08-16,926.32,VEND_38,Bachman Electric,PAID,PO-1674
INV_023,2026-07-27,497.99,VEND_37,Lestrade & Co,PENDING,PO-1496
INV_024,2026-08-15,1299.9,VEND_26,Primatech Paper,PAID,PO-8202
INV_025,2026-08-11,2472.83,VEND_14,Los Pollos Dist.,PAID,PO-7532
INV_026,2026-08-01,3827.26,VEND_33,Momcorp Industries,PAID,PO-5382
INV_027,2026-08-21,1632.3,VEND_11,Pied Piper Tech,PENDING,PO-1379
INV_028,2026-07-31,4731.64,VEND_33,Momcorp Industries,PAID,PO-1828
INV_029,2026-08-09,2524.98,VEND_31,Frobozz Electric,PENDING,PO-3194
INV_030,2026-08-04,3664.79,VEND_26,Primatech Paper,PAID,PO-6939
INV_031,2026-08-08,4144.03,VEND_40,Gekko Capital,PENDING,PO-7114
INV_032,2026-08-21,4935.26,VEND_36,Sorin Systems,PENDING,PO-9193
INV_033,2026-08-12,2339.24,VEND_39,Pawnee Power,PAID,PO-3662
INV_034,2026-08-08,4954.02,VEND_20,Buy n Large Corp,PENDING,PO-5911
INV_035,2026-08-12,4097.17,VEND_24,Tyrell Systems,PAID,PO-1436
INV_036,2026-08-15,2425.49,VEND_38,Bachman Electric,PENDING,PO-3793
INV_037,2026-08-15,3182.22,VEND_40,Gekko Capital,PAID,PO-2800
INV_038,2026-08-05,192.79,VEND_21,Oceanic Freight,PENDING,PO-9221
INV_039,2026-08-24,3096.24,VEND_31,Frobozz Electric,PAID,PO-9498
INV_040,2026-08-05,2848.35,VEND_31,Frobozz Electric,PENDING,PO-9734
INV_041,2026-08-09,2776.74,VEND_17,Nakatomi Trading,PAID,PO-5890
INV_042,2026-08-04,4713.28,VEND_20,Buy n Large Corp,PAID,PO-8861
INV_043,2026-08-07,2846.39,VEND_18,Rekall Solutions,PENDING,PO-7464
INV_044,2026-08-11,4777.58,VEND_10,Dunder Supplies,PAID,PO-8247
